,toxin_id,cas_number
671,T3D0786,"592-87-0"
672,T3D0791,"7440-61-1"
673,T3D0792,"12001-28-4"
674,T3D0793,"77536-68-6"
675,T3D0794,"77536-66-4"
676,T3D0795,"77536-67-5"
677,T3D0796,"7440-31-5"
678,T3D0797,"105827-78-9"
679,T3D0798,"120068-37-3"
680,T3D0799,"54-11-5"
681,T3D0800,"83-79-4"
682,T3D0801,"120-36-5"
683,T3D0802,"94-82-6"
684,T3D0803,"93-76-5"
685,T3D0804,"94-74-6"
686,T3D0805,"94-81-5"
687,T3D0806,"93-65-2"
688,T3D0807,"1918-00-9"
689,T3D0808,"1910-42-5"
690,T3D0810,"15972-60-8"
691,T3D0811,"34256-82-1"
692,T3D0812,"51276-47-2"
693,T3D0813,"29883-15-6"
694,T3D0815,"523-50-2"
695,T3D0816,"482-48-4"
696,T3D0819,"483-66-9"
697,T3D0821,"61265-06-3"
698,T3D0822,"131-12-4"
699,T3D0825,"66-97-7"
700,T3D0831,"482-45-1"
701,T3D0834,"7380-40-7"
702,T3D0836,"298-81-7"
703,T3D0838,"482-44-0"
704,T3D0842,"145414-76-2"
705,T3D0843,"482-27-9"
706,T3D0845,"1603-47-0"
707,T3D0846,"2543-94-4"
708,T3D0855,"2385-85-5"
709,T3D0856,"144-62-7"
710,T3D0859,"554-35-8"
711,T3D0860,"534-67-8"
712,T3D0864,"95-47-6"
713,T3D0868,"106-48-9"
714,T3D0870,"935-95-5"
715,T3D0871,"1315-04-4"
716,T3D0872,"1314-60-9"
717,T3D0873,"28300-74-5"
718,T3D0874,"10025-91-9"
719,T3D0875,"1309-64-4"
720,T3D0876,"1345-04-6"
721,T3D0877,"7803-52-3"
722,T3D0878,"7647-18-9"
723,T3D0890,"40487-42-1"
724,T3D0893,"2655-15-4"
725,T3D0894,"62046-37-1"
726,T3D0895,"26419-73-8"
727,T3D0896,"14357-82-5"
728,T3D0897,"3282-00-6"
729,T3D0898,"10309-97-4"
730,T3D0900,"2328-31-6"
731,T3D0901,"330-64-3"
732,T3D0902,"2655-14-3"
733,T3D0903,"16655-82-6"
734,T3D0904,"55406-53-6"
735,T3D0905,"16709-30-1"
736,T3D0906,"97508-29-7"
737,T3D0907,"10389-50-1"
738,T3D0908,"3566-00-5"
739,T3D0909,"831-76-5"
740,T3D0910,"2620-53-3"
741,T3D0911,"18809-57-9"
742,T3D0912,"10233-94-0"
743,T3D0913,"1136-84-1"
744,T3D0914,"8063-85-2"
745,T3D0915,"2532-49-2"
746,T3D0916,"83130-01-2"
747,T3D0918,"1646-87-3"
748,T3D0919,"116-06-3"
749,T3D0920,"1646-88-4"
750,T3D0921,"6392-46-7"
751,T3D0922,"2032-59-9"
752,T3D0923,"3337-71-1"
753,T3D0924,"2302-17-2"
754,T3D0925,"101-27-9"
755,T3D0926,"22781-23-3"
756,T3D0927,"82560-54-1"
757,T3D0928,"17804-35-2"
758,T3D0929,"413615-35-7"
759,T3D0930,"177406-68-7"
760,T3D0932,"39995-74-9"
761,T3D0934,"2282-34-0"
762,T3D0935,"672-04-8"
763,T3D0936,"2655-19-8"
764,T3D0937,"34681-10-2"
765,T3D0938,"34681-23-7"
766,T3D0939,"671-04-5"
767,T3D0940,"63-25-2"
768,T3D0941,"1773-37-1"
769,T3D0942,"10605-21-7"
770,T3D0943,"16118-49-3"
771,T3D0944,"1563-66-2"
772,T3D0945,"55285-14-8"
773,T3D0946,"55808-13-4"
774,T3D0947,"1967-16-4"
775,T3D0948,"23121-99-5"
776,T3D0949,"101-21-3"
777,T3D0950,"51487-69-5"
778,T3D0951,"1134-23-2"
779,T3D0952,"28559-00-4"
780,T3D0953,"62732-91-6"
781,T3D0954,"1563-67-3"
782,T3D0955,"13684-56-5"
783,T3D0956,"2303-16-4"
784,T3D0957,"1966-58-1"
785,T3D0959,"87130-20-9"
786,T3D0960,"122-15-6"
787,T3D0961,"644-64-4"
788,T3D0962,"6988-21-2"
789,T3D0963,"759-94-4"
790,T3D0964,"29973-13-5"
791,T3D0966,"78357-48-9"
792,T3D0967,"30087-47-9"
793,T3D0968,"3766-81-2"
794,T3D0969,"72490-01-8"
795,T3D0970,"22259-30-9"
796,T3D0971,"23422-53-9"
797,T3D0972,"17702-57-7"
798,T3D0973,"59682-52-9"
799,T3D0974,"65907-30-4"
800,T3D0975,"56716-21-3"
801,T3D0976,"119-38-0"
802,T3D0977,"2631-40-5"
803,T3D0978,"4849-32-5"
804,T3D0979,"64-00-6"
805,T3D0980,"27386-64-7"
806,T3D0981,"2032-65-7"
807,T3D0982,"2179-25-1"
808,T3D0983,"2635-10-1"
809,T3D0984,"16752-77-5"
810,T3D0985,"1129-41-5"
811,T3D0986,"315-18-4"
